taxa,PC1,PC2
17SGH03739,37.0598755838133,10.7570523135232
17SGH02460,7.58073520796983,0.13615239740082
17SGH03791,9.34968124024232,15.9918005747211
17SGH03572,16.0119764260417,-21.7950861661293
17SGH02542,23.1272085166473,4.49895595661638
17SGH00675,-10.7801571366612,-2.65629719869441
17SGH01776,-11.9705778690054,10.4580442620087
17SGH03176,18.0587392505967,20.8549921919886
17SGH00208,16.8576064526663,-23.6890541573432
17SGH02702,-27.2945387046423,-20.3797023382143
17SGH02287,6.54170280147541,36.7713762418239
17SGH03892,29.8644571454017,14.1559823515164
17SGH02741,-15.3573761656796,-8.8704423540511
17SGH02529,9.42414857145484,-3.06505764363762
17SGH00391,2.33050055120241,-1.14006629164035
17SGH03908,17.3049906244026,0.79471025768389
17SGH02466,-5.74767019035258,23.2890355236513
17SGH02587,-9.77970372122841,29.2885833985841
17SGH00723,6.63693116702068,28.4878984015375
17SGH00019,-31.0265939485767,6.4522582660178
17SGH01561,-17.0714882217248,6.00871426085165
17SGH03328,-1.82836781122589,-14.4170707087905
17SGH02660,1.30985401746055,-30.2853404658355
17SGH01913,15.5205445601976,-15.6439458814011
17SGH04020,-12.9956458524242,27.2298405788063
17SGH03771,7.81533331606798,5.80224332377864
17SGH02959,-18.3191472224132,-10.0937436982137
17SGH03863,22.2937683163617,-20.5706445946238
17SGH03878,24.75327158609,6.31774897038348
17SGH01082,-10.6340495013592,8.11742525375
17SGH02669,-20.0341395715857,-14.792372681959
17SGH01985,32.1826917935416,4.46945003724493
17SGH02731,-14.4024343583463,4.10110274969016
17SGH03605,-16.0571565617871,-15.9332624215215
17SGH02459,-18.6517018539744,4.18981249842418
17SGH02352,0.851108631447889,0.761544466334664
17SGH03243,-0.972179971505384,17.1592853599948
17SGH04060,-4.96138973325135,-26.2522747249522
17SGH01613,-11.3215766473637,6.74701726152457
17SGH02132,11.2826550756955,0.102752000530639
17SGH02913,3.68330986180534,-23.8588834440032
17SGH03521,-2.59518314813141,5.52675038321951
17SGH03595,-29.0284607236657,2.46576648826628
17SGH01348,21.1505211616001,-16.4618246018287
17SGH02701,18.6853700383814,-20.0033734378383
17SGH01512,31.8760999743368,0.884026139632435
17SGH00352,-18.3511356316208,2.12143594810115
17SGH03009,-25.0529719982608,-10.6728815151243
17SGH02889,17.0469035655532,-18.2665518658024
17SGH01126,18.154749359388,-3.56866087088519
17SGH03852,6.62727371978433,17.4722588139091
17SGH03284,-13.3833644930623,-4.62082302477782
17SGH00633,0.170010712436398,-3.98723356780731
17SGH02665,25.0893992782538,-13.2282821090966
17SGH03351,-13.8503854407,-4.54136420555593
17SGH03069,7.75118483745782,20.0904099871261
17SGH02162,-19.1032360540479,2.20266551762835
17SGH04065,27.2722734192803,-15.9932393940086
17SGH03519,-31.9333693232673,11.4808336696927
17SGH00060,-3.73022985724034,-18.9417412653231
17SGH00279,30.6476283620991,-18.4129444529482
17SGH01502,31.8649963955902,-2.9346395588137
17SGH02243,10.0634127032657,-8.79986118148174
17SGH03882,39.0400405274602,12.8829084289827
17SGH00915,-13.5993420049897,-5.17644927951984
17SGH00377,-13.0572987186699,-16.8639908499816
17SGH00157,-20.0018352682986,7.7023572487707
17SGH03033,15.7260815554611,-2.46205534515297
17SGH03435,28.3348815791992,-6.92034949767238
17SGH03912,29.0548502001128,-14.0226081075288
17SGH00356,-3.03527328981894,5.87153449928296
17SGH02360,-14.0636281363991,17.0100808530488
17SGH01120,-6.62649308020913,12.2773071285407
17SGH02945,-18.9069780731229,6.94018514578188
17SGH02786,-11.5870664183316,-9.47956782878188
17SGH03141,-0.529167059685138,22.2533239424734
17SGH02112,-16.2760953709036,-28.2385328716421
17SGH03566,24.026578956856,-18.9264608275832
17SGH01096,3.97953631623248,-8.26341563715979
17SGH03044,13.1668368924038,12.8530153921075
17SGH03671,23.3454345137021,22.4466611146698
17SGH00518,-16.6214544664402,-18.5933992091239
17SGH03618,18.2126346208389,26.1563726687641
17SGH00894,-4.77177507720754,24.8599643391193
17SGH00599,-22.9490342079278,-17.484824253439
17SGH02608,2.41666820950807,29.9988878307611
17SGH01706,-6.29592727091988,10.8342450253942
17SGH00226,0.159533068370947,0.0696187644147166
17SGH03820,-9.8878213459508,-13.4644730737854
17SGH02048,-14.4667108098857,10.8079211005934
17SGH04079,7.48991565789406,13.1235386761936
17SGH00766,-25.8451153851173,9.21288422574796
17SGH02686,-22.5363713366772,7.07689514413664
