"","Distance","Rsquare","Number"
"1",100,0.153889352818585,2561
"2",200,0.135324134216355,90
"3",300,0.132538079788065,55
"4",400,0.135767667202963,30
"5",500,0.154553144824669,28
"6",600,0.177988383008775,29
"7",700,0.0975551199365523,28
"8",800,0.155572856895128,23
"9",900,0.136507857723724,25
"10",1000,0.119398982146906,25
"11",1100,0.19776121301918,14
"12",1200,0.150844666470346,17
"13",1300,0.231964405503998,14
"14",1400,0.113188771838941,16
"15",1500,0.162447973516603,11
"16",1600,0.234034155384904,14
"17",1700,0.0827459499513313,11
"18",1800,0.316564189191645,4
"19",1900,0.117816380257882,14
"20",2000,0.264934963685601,8
"21",2100,0.150656373729496,10
"22",2200,0.00952487305183551,6
"23",2300,0.138232747588976,9
"24",2400,0.0677300913522299,11
"25",2500,0.208367052781367,12
"26",2600,0.16749211986911,11
"27",2700,0.184207303127936,14
"28",2800,0.434238248673107,6
"29",2900,0.180667171328331,9
"30",3000,0.0260643575119909,12
"31",3100,0.0479914243193051,5
"32",3200,0.0703281178077536,19
"33",3300,0.0433184789821786,7
"34",3400,0.265799060124915,4
"35",3500,0.15256312020443,7
"36",3600,0.00130480600216743,5
"37",3700,0.157595464162054,10
"38",3800,0.103204730280076,5
"39",3900,0.20814936919102,7
"40",4000,0.0311812973432483,5
"41",4100,0.0365492882774576,4
"42",4200,0.338627874025545,11
"43",4300,0.221914882175969,11
"44",4400,0.0246786909103427,5
"45",4500,0.0572653822549693,9
"46",4600,0.0835913255377342,8
"47",4700,0.212985770773443,6
"48",4800,0.0366274264461832,6
"49",4900,0.294390402392357,5
"50",5000,0.202979483763088,9
"51",5100,0.0488681954293086,4
"52",5200,0.0236041626508854,6
"53",5300,0.250586678017169,6
"54",5400,0.338583224425199,6
"55",5500,0.241545634197055,5
"56",5600,0.138166308361843,9
"57",5700,0.0324208563245987,5
"58",5800,0.0847580265961728,4
"59",5900,0.264518230169938,10
"60",6000,0.0418552179049582,4
"61",6100,0.116426969774397,4
"62",6200,0.0315249553973304,5
"63",6300,0.245279164436118,4
"64",6400,0.273826818260261,8
"65",6500,0.272588721293284,4
"66",6600,0.158872327137711,6
"67",6700,0.231398386592889,13
"68",6800,0.0306271618358306,3
"69",6900,0.251907355287691,6
"70",7000,0.0295766133145983,6
"71",7100,0.0815211155925018,4
"72",7200,0.0277909850510829,5
"73",7300,0.216292781614578,3
"74",7400,0.093220741806878,2
"75",7500,0.21262620680778,4
"76",7600,0.0782942136905856,7
"77",7700,0.0604251744535376,4
"78",7800,0.227129308042876,3
"79",7900,0.193469275273743,5
"80",8000,0.0581763879139665,6
"81",8100,0.0294667712552419,4
"82",8200,0.00705651859009439,2
"83",8300,0.000931530537540564,2
"84",8400,0.372353867409178,9
"85",8500,0.146717163587424,10
"86",8600,0.0133093557795725,5
"87",8700,0.0321626750987608,6
"88",8800,0.0654361680463996,1
"89",8900,0.000785963662778102,4
"90",9000,0.0426433941660484,4
"91",9100,0.0381050193597852,3
"92",9200,0.0936697228126009,6
"93",9300,0.211541122486726,12
"94",9400,0.0073312284223836,7
"95",9500,0.156802249314594,9
"96",9600,0.21725567582514,3
"97",9700,0.13158324285347,4
"98",9800,0.0586649446793463,4
"99",9900,0.01359997133779,4
