"","Distance","Rsquare","Number"
"1",100,0.142657690326011,2619
"2",200,0.17141429582488,77
"3",300,0.166484418598891,50
"4",400,0.106905482535711,36
"5",500,0.156761093827683,31
"6",600,0.170563444341764,28
"7",700,0.126426168840991,30
"8",800,0.123206485941797,16
"9",900,0.110649080433003,19
"10",1000,0.119806976226729,24
"11",1100,0.129038603657214,15
"12",1200,0.135062939099549,20
"13",1300,0.209732210770396,11
"14",1400,0.221976971992243,13
"15",1500,0.348802736098729,8
"16",1600,0.223090563175324,16
"17",1700,0.0921210280925751,10
"18",1800,0.171261733445214,6
"19",1900,0.0480631382096867,9
"20",2000,0.229750045663919,13
"21",2100,0.148488580947749,7
"22",2200,0.0199770572101189,10
"23",2300,0.167005089765879,11
"24",2400,0.0978197146989931,13
"25",2500,0.180706104359483,9
"26",2600,0.279635883060155,9
"27",2700,0.091850028677266,10
"28",2800,0.29986106662718,7
"29",2900,0.190010166086307,5
"30",3000,0.061698184230111,11
"31",3100,0.025185329013045,7
"32",3200,0.157433135918507,9
"33",3300,0.00426362512987197,4
"34",3400,0.108617544299246,7
"35",3500,0.417895654884325,5
"36",3600,0.250890544156707,7
"37",3700,0.245588668755976,7
"38",3800,0.189197835433364,6
"39",3900,0.0803404072409422,9
"40",4000,0.0446412771944809,8
"41",4100,0.112160926715728,4
"42",4200,0.185987027991348,13
"43",4300,0.152866865628156,8
"44",4400,0.016323188797719,4
"45",4500,0.0833362078198411,9
"46",4600,0.2997454515082,10
"47",4700,0.155531259384355,6
"48",4800,0.125649624428585,9
"49",4900,0.202531390331922,5
"50",5000,0.30767799205866,5
"51",5100,0.0553605252837867,6
"52",5200,0.0880256581876849,7
"53",5300,0.125302203579628,8
"54",5400,0.140335687345179,5
"55",5500,0.253570715089211,6
"56",5600,0.0756703101675063,4
"57",5700,0.0194832826301713,6
"58",5800,0.0583380446752676,7
"59",5900,0.316172398849227,10
"60",6000,0.37047916234303,5
"61",6100,0.109298987448585,3
"62",6200,0.0517628829017116,12
"63",6300,0.345521611436299,4
"64",6400,0.297286217805224,9
"65",6500,0.0883194577191874,7
"66",6600,0.0207369509269503,3
"67",6700,0.189041217462692,7
"68",6800,0.143616010288419,8
"69",6900,0.237889490020055,4
"70",7000,0.00686590729213308,6
"71",7100,0.28682708451721,5
"72",7200,0.0702643053328212,6
"73",7300,0.194497641037129,4
"74",7400,0.0800906194953467,7
"75",7500,0.0854105016349626,3
"76",7600,0.0630988250141302,3
"77",7700,0.213783714182245,3
"78",7800,0.134034755480065,7
"79",7900,0.262475676507185,7
"80",8000,0.291161048944343,4
"81",8100,0.210030785238903,5
"82",8200,0.0826848757531516,6
"83",8300,0.00523246352105466,1
"84",8400,0.225734855876,5
"85",8500,0.177670611939504,5
"86",8600,0.0187622187523756,7
"87",8700,0.138607296834521,3
"88",8800,0.413653269699613,2
"89",8900,0.102482300435504,4
"90",9000,0.104720724504683,6
"91",9100,0.22317051923386,4
"92",9200,0.0300806819831814,3
"93",9300,0.124008452432522,8
"94",9400,0.353110076339254,3
"95",9500,0.288357661651011,7
"96",9600,0.0350104938454799,4
"97",9700,0.147835758984148,5
"98",9800,0.00154044780076177,1
"99",9900,0.0138756614734431,4
