"","Distance","Rsquare","Number"
"1",100,0.153115810982003,2586
"2",200,0.140515063562864,88
"3",300,0.146712703649997,46
"4",400,0.0662567052569082,32
"5",500,0.223568038659905,24
"6",600,0.201680601578162,21
"7",700,0.124497604095293,23
"8",800,0.1408171017836,14
"9",900,0.126074435607533,26
"10",1000,0.163757062047942,27
"11",1100,0.130715937555936,12
"12",1200,0.174255332441685,17
"13",1300,0.12551119460399,17
"14",1400,0.066336480510169,17
"15",1500,0.0687073767844069,8
"16",1600,0.0738234486752785,15
"17",1700,0.139248568779484,16
"18",1800,0.327686029051172,7
"19",1900,0.13849386529714,14
"20",2000,0.254149329251977,15
"21",2100,0.305600101665163,10
"22",2200,0.0934466085296908,9
"23",2300,0.234991413298567,12
"24",2400,0.0626422391760653,13
"25",2500,0.116989212370622,12
"26",2600,0.19683664635803,10
"27",2700,0.104169884493116,9
"28",2800,0.238000770532133,6
"29",2900,0.197850152385754,16
"30",3000,0.163974236204267,7
"31",3100,0.0271927024751766,8
"32",3200,0.0917586601466793,14
"33",3300,0.0345292209716201,6
"34",3400,0.261121594380576,5
"35",3500,0.0472371377879412,1
"36",3600,0.100283247991278,8
"37",3700,0.520297822876079,4
"38",3800,0.15548029535198,3
"39",3900,0.301681679625934,6
"40",4000,0.308458840460945,6
"41",4100,0.24166515265639,4
"42",4200,0.23907474411272,9
"43",4300,0.183765185870578,9
"44",4400,0.0221758631670031,3
"45",4500,0.0768841424514847,4
"46",4600,0.308454123364339,8
"47",4700,0.128467452488404,8
"48",4800,0.105946319105871,6
"49",4900,0.00326836786954835,5
"50",5000,0.134622199301528,9
"51",5100,0.151275235519449,8
"52",5200,0.136574745706745,7
"53",5300,0.213508126854875,6
"54",5400,0.150348708123395,8
"55",5500,0.162905835539552,4
"56",5600,0.0135437140481904,7
"57",5700,0.0734158220433784,4
"58",5800,0.0644932919870934,5
"59",5900,0.0404348031719524,10
"60",6000,0.321173691556267,6
"61",6100,0.299726453313379,4
"62",6200,0.055092299586702,8
"63",6300,0.020723451225087,2
"64",6400,0.109683939293138,3
"65",6500,0.206309666401612,6
"66",6600,0.00465359554800758,3
"67",6700,0.301319423532637,10
"68",6800,0.00446180333188121,3
"69",6900,0.155982085854164,8
"70",7000,0.131943872234378,7
"71",7100,0.152891726582404,6
"72",7200,0.0026863498280234,1
"73",7300,0.27115817862536,4
"74",7400,0.0425577213725451,6
"75",7500,0.0754821580615899,4
"76",7600,0.159108439162399,5
"77",7700,0.183536478668371,6
"78",7800,0.0403573373348833,4
"79",7900,0.413781251537567,3
"80",8000,0.181545977428123,6
"81",8100,0.253519855394586,6
"82",8200,0.0447511020590803,3
"83",8300,0.0457164305931948,2
"84",8400,0.0563550939587592,6
"85",8500,0.147447495067854,8
"86",8600,0.0215351184532764,6
"87",8700,0.245493985585099,2
"88",8800,0.482892719232312,2
"89",8900,0.0159089787388989,6
"90",9000,0.085995803055522,7
"91",9100,0.00267274876750481,3
"92",9200,0.0127422105087606,4
"93",9300,0.0973182412666526,8
"94",9400,0.213050805063735,5
"95",9500,0.269464756734226,4
"96",9600,0.248356434474716,4
"97",9700,0.020407058322174,1
"98",9800,0.035247383505055,3
"99",9900,0.0130667578188087,6
