"","Distance","Rsquare","Number"
"1",100,0.154660959745844,2469
"2",200,0.134820934002668,82
"3",300,0.184719822430561,51
"4",400,0.160355274931217,38
"5",500,0.167097097097346,27
"6",600,0.124155813091361,33
"7",700,0.0783504280540289,29
"8",800,0.0881080497425661,19
"9",900,0.0873443802932133,13
"10",1000,0.0866843436044353,23
"11",1100,0.214084733972899,18
"12",1200,0.139067453029759,15
"13",1300,0.198203966440438,14
"14",1400,0.1961560757603,21
"15",1500,0.351039608265835,8
"16",1600,0.124795608311854,18
"17",1700,0.210067308035125,13
"18",1800,0.216522724783494,7
"19",1900,0.0222177463646727,9
"20",2000,0.176674254472174,12
"21",2100,0.298366435985105,9
"22",2200,0.0312073197750584,11
"23",2300,0.0534038579173298,13
"24",2400,0.147659753277358,16
"25",2500,0.149073130427541,8
"26",2600,0.143667879112527,10
"27",2700,0.0787620286386885,10
"28",2800,0.201972121566233,10
"29",2900,0.123156304010812,13
"30",3000,0.00629387613710993,3
"31",3100,0.0452953957738115,9
"32",3200,0.137803888649023,13
"33",3300,0.0861922741645657,12
"34",3400,0.175919368482551,9
"35",3500,0.0471747651641356,7
"36",3600,0.23199749080241,4
"37",3700,0.271018043525873,10
"38",3800,0.0884843847538585,8
"39",3900,0.0221061631189498,7
"40",4000,0.0583240731318284,7
"41",4100,0.149936777394763,3
"42",4200,0.0690595309167614,10
"43",4300,0.185215844876566,9
"44",4400,0.140732840496328,4
"45",4500,0.179692328826524,9
"46",4600,0.173065112890685,8
"47",4700,0.119044156756481,12
"48",4800,0.13120008061701,7
"49",4900,0.145663567511842,7
"50",5000,0.161403974726838,7
"51",5100,0.0989423320270297,5
"52",5200,0.0737435648309503,7
"53",5300,0.0973481009832114,5
"54",5400,0.166890857973997,6
"55",5500,0.10425962090165,4
"56",5600,0.0952723172477343,7
"57",5700,0.00804185726476053,3
"58",5800,0.0712210729824913,4
"59",5900,0.0323345441198532,6
"60",6000,0.125267534231464,6
"61",6100,0.317140503227646,6
"62",6200,0.0394413669526519,8
"63",6300,0.190130289713132,3
"64",6400,0.0275857974931573,6
"65",6500,0.176158192208395,9
"66",6600,0.0283815065151266,2
"67",6700,0.176820306126676,5
"68",6800,0.00294774084919306,5
"69",6900,0.112246714788086,6
"70",7000,0.0304022028284812,7
"71",7100,0.180175909058406,7
"72",7200,0.145344347694416,4
"73",7300,0.245128065766593,3
"74",7400,0.0895333943231519,5
"75",7500,0.0571786268696184,4
"76",7600,0.165182785019395,6
"77",7700,0.149928058203161,9
"78",7800,0.18033798144899,5
"79",7900,0.0743021112804559,6
"80",8000,0.271640501729127,6
"81",8100,0.194285579753939,7
"82",8200,0.0989862865858855,5
"83",8300,0.0633715257657883,4
"84",8400,0.042512663668507,8
"85",8500,0.475198056360518,5
"86",8600,0.208578184694423,8
"87",8700,0.0197995079758224,6
"88",8800,0.0524925433065532,3
"89",8900,0.0637985001697068,8
"90",9000,0.204827615065061,2
"91",9100,0.00547561034768117,3
"92",9200,0.0011750325693802,1
"93",9300,0.118240914365004,10
"94",9400,0.302649712700004,7
"95",9500,0.303607752967803,6
"96",9600,0.159589461479691,4
"97",9700,0.0353817497726011,5
"98",9800,0.00918517121925945,3
"99",9900,0.0197282150210756,3
