SNP,Chr,Pos,P.value,MAF,effect,nobs,H&B.P.Value,Phenotype_Variance_Explained(%)
SJ02_517769933,2,517769933,4.9246819108112e-08,0.00931677018633537,-0.413630418363214,322,0.000175466416482203,0.97767513813006
SJ05_552460009,5,552460009,2.22636437319247e-32,0.00155279503105588,-2.32902015857756,322,7.13928263551628e-28,34.3523339647915
SJ07_421470788,7,421470788,1.06561755959676e-12,0.0232919254658385,-0.39716700876795,322,6.83423165671784e-09,22.185833378415
SJ07_603983512,7,603983512,7.37408917119302e-07,0.00155279503105588,-0.972909919043587,322,0.00214968106775133,9.38533373961959
SS02_486726932,9,486726932,1.28392809182664e-10,0.0248447204968945,0.254579663087131,322,6.86195368676749e-07,0.0845490969303746
SS07_301996644,14,301996644,5.23698365928463e-27,0.00155279503105588,-2.26491642243874,322,8.39671775011401e-23,32.6579794068838
SV02_452036252,16,452036252,9.52985305390824e-10,0.00621118012422361,-0.339280449231575,322,4.36562568399537e-06,5.23811662267628e-08
SV05_550625854,19,550625854,7.95259770173776e-08,0.0201863354037267,0.616486640914595,322,0.000255015950501625,0
SV05_564391501,19,564391501,3.16282828882387e-08,0.0217391304347826,0.532048750563876,322,0.000126778018422144,0
SV05_570894065,19,570894065,2.84036696640414e-15,0.0186335403726708,-0.242142547771575,322,3.03606825038939e-11,0
SV05_574080626,19,574080626,6.54792429176242e-13,0.0170807453416149,1.73229826972753,322,5.24930720659863e-09,0
